Season,Episode,Topic,Label,Confidence,Topic Words
1,3,0,Fight,0.042429592,"['mean', 'na', 'gon', 'guy', 'friend', 'theyre', 'like', 'pheebs', 'see', 'think']"
1,3,1,Child,0.362183362,"['chandler', 'phoebe', 'notnotmine', 'notmine', 'hair', 'joey', 'shoe', 'like', 'know', 'knucklecracking']"
1,3,1,Fight,0.234885618,"['chandler', 'phoebe', 'notnotmine', 'notmine', 'hair', 'joey', 'shoe', 'like', 'know', 'knucklecracking']"
1,3,1,Gossip,0.045541957,"['chandler', 'phoebe', 'notnotmine', 'notmine', 'hair', 'joey', 'shoe', 'like', 'know', 'knucklecracking']"
1,3,1,Romance,0.036584616,"['chandler', 'phoebe', 'notnotmine', 'notmine', 'hair', 'joey', 'shoe', 'like', 'know', 'knucklecracking']"
1,3,2,Child,0.076231778,"['yeah', 'oh', 'yes', 'thats', 'ohh', 'fantastic', 'excellent', 'wow', 'ridiculous', 'reluctantly']"
1,3,2,Museum,0.06844946,"['yeah', 'oh', 'yes', 'thats', 'ohh', 'fantastic', 'excellent', 'wow', 'ridiculous', 'reluctantly']"
1,3,2,Fight,0.058122035,"['yeah', 'oh', 'yes', 'thats', 'ohh', 'fantastic', 'excellent', 'wow', 'ridiculous', 'reluctantly']"
1,3,2,TV,0.053337339,"['yeah', 'oh', 'yes', 'thats', 'ohh', 'fantastic', 'excellent', 'wow', 'ridiculous', 'reluctantly']"
1,3,3,Child,0.128311455,"['okay', 'would', 'like', 'fine', 'alright', 'please', 'id', 'five', 'im', 'earn']"
1,3,3,Job,0.055009358,"['okay', 'would', 'like', 'fine', 'alright', 'please', 'id', 'five', 'im', 'earn']"
1,3,3,Museum,0.052042305,"['okay', 'would', 'like', 'fine', 'alright', 'please', 'id', 'five', 'im', 'earn']"
1,3,3,Money,0.051573195,"['okay', 'would', 'like', 'fine', 'alright', 'please', 'id', 'five', 'im', 'earn']"
1,3,4,Friendship,0.385850698,"['smoke', 'cigarette', 'smoking', 'think', 'cell', 'well', 'time', 'im', 'buddy', 'quit']"
1,3,4,Child,0.156399608,"['smoke', 'cigarette', 'smoking', 'think', 'cell', 'well', 'time', 'im', 'buddy', 'quit']"
1,3,4,Roommates,0.152961969,"['smoke', 'cigarette', 'smoking', 'think', 'cell', 'well', 'time', 'im', 'buddy', 'quit']"
1,3,4,Gossip,0.031475149,"['smoke', 'cigarette', 'smoking', 'think', 'cell', 'well', 'time', 'im', 'buddy', 'quit']"
1,3,5,Gossip,0.107309535,"['hey', 'hi', 'entering', 'pheebs', 'oh', 'cut', 'mention', 'lizzie', 'howd', 'intercom']"
1,3,5,Romance,0.087766245,"['hey', 'hi', 'entering', 'pheebs', 'oh', 'cut', 'mention', 'lizzie', 'howd', 'intercom']"
1,3,5,Child,0.072412506,"['hey', 'hi', 'entering', 'pheebs', 'oh', 'cut', 'mention', 'lizzie', 'howd', 'intercom']"
1,3,5,Acting,0.070248351,"['hey', 'hi', 'entering', 'pheebs', 'oh', 'cut', 'mention', 'lizzie', 'howd', 'intercom']"
1,3,6,Food,0.330977052,"['reward', 'cmon', 'since', 'weird', 'relieved', 'lambchop', 'easy', 'girl', 'much', 'oh']"
1,3,6,Child,0.151059359,"['reward', 'cmon', 'since', 'weird', 'relieved', 'lambchop', 'easy', 'girl', 'much', 'oh']"
1,3,6,Cooking,0.102581404,"['reward', 'cmon', 'since', 'weird', 'relieved', 'lambchop', 'easy', 'girl', 'much', 'oh']"
1,3,6,Romance,0.05533421,"['reward', 'cmon', 'since', 'weird', 'relieved', 'lambchop', 'easy', 'girl', 'much', 'oh']"
1,3,7,Breakup,0.078952491,"['alan', 'wouldnt', 'fair', 'everybody', 'ill', 'there', 'could', 'hi', 'okay', 'uh']"
1,3,7,Fight,0.076743893,"['alan', 'wouldnt', 'fair', 'everybody', 'ill', 'there', 'could', 'hi', 'okay', 'uh']"
1,3,7,Hospital,0.060327861,"['alan', 'wouldnt', 'fair', 'everybody', 'ill', 'there', 'could', 'hi', 'okay', 'uh']"
1,3,7,Child,0.060303461,"['alan', 'wouldnt', 'fair', 'everybody', 'ill', 'there', 'could', 'hi', 'okay', 'uh']"
1,4,0,Romance,0.071423687,"['okay', 'oh', 'look', 'im', 'well', 'got', 'see', 'guy', 'like', 'uh']"
1,4,0,Gossip,0.069084309,"['okay', 'oh', 'look', 'im', 'well', 'got', 'see', 'guy', 'like', 'uh']"
1,4,0,Roommates,0.068384767,"['okay', 'oh', 'look', 'im', 'well', 'got', 'see', 'guy', 'like', 'uh']"
1,4,0,Acting,0.061120622,"['okay', 'oh', 'look', 'im', 'well', 'got', 'see', 'guy', 'like', 'uh']"
1,4,1,Gossip,0.097724177,"['yeah', 'oh', 'guy', 'thats', 'sarcastic', 'thanks', 'excuse', 'pas', 'got', 'shut']"
1,4,1,Breakup,0.092327669,"['yeah', 'oh', 'guy', 'thats', 'sarcastic', 'thanks', 'excuse', 'pas', 'got', 'shut']"
1,4,1,Fight,0.056406505,"['yeah', 'oh', 'guy', 'thats', 'sarcastic', 'thanks', 'excuse', 'pas', 'got', 'shut']"
1,4,1,Sofa,0.049551979,"['yeah', 'oh', 'guy', 'thats', 'sarcastic', 'thanks', 'excuse', 'pas', 'got', 'shut']"
1,5,0,Friendship,0.096595235,"['im', 'oh', 'know', 'like', 'hey', 'ok', 'uh', 'go', 'well', 'na']"
1,5,0,Child,0.080757,"['im', 'oh', 'know', 'like', 'hey', 'ok', 'uh', 'go', 'well', 'na']"
1,5,0,Museum,0.05938492,"['im', 'oh', 'know', 'like', 'hey', 'ok', 'uh', 'go', 'well', 'na']"
1,5,0,Roommates,0.051499199,"['im', 'oh', 'know', 'like', 'hey', 'ok', 'uh', 'go', 'well', 'na']"
1,5,1,Sex,0.235470906,"['yeah', 'really', 'thats', 'yep', 'ow', 'huh', 'cleveland', 'nuhuh', 'excellent', 'orgasm']"
1,5,1,Museum,0.079239808,"['yeah', 'really', 'thats', 'yep', 'ow', 'huh', 'cleveland', 'nuhuh', 'excellent', 'orgasm']"
1,5,1,Cleaning,0.055270519,"['yeah', 'really', 'thats', 'yep', 'ow', 'huh', 'cleveland', 'nuhuh', 'excellent', 'orgasm']"
1,5,1,Hospital,0.048204865,"['yeah', 'really', 'thats', 'yep', 'ow', 'huh', 'cleveland', 'nuhuh', 'excellent', 'orgasm']"
1,6,0,Acting,0.115137637,"['guy', 'oh', 'im', 'go', 'like', 'well', 'yknow', 'look', 'get', 'dont']"
1,6,0,Fight,0.101350099,"['guy', 'oh', 'im', 'go', 'like', 'well', 'yknow', 'look', 'get', 'dont']"
1,6,0,Breakup,0.07154803,"['guy', 'oh', 'im', 'go', 'like', 'well', 'yknow', 'look', 'get', 'dont']"
1,6,0,Gossip,0.063687854,"['guy', 'oh', 'im', 'go', 'like', 'well', 'yknow', 'look', 'get', 'dont']"
